year,days,rain
1849,52,33.1
1850,49,7.42
1851,52,18.55
1852,70,35.26
1853,79,23.87
1854,70,23.83
1855,54,21.66
1856,61,19.91
1857,56,21.81
1858,68,22.22
1859,73,22.27
1860,70,19.72
1861,83,49.27
1862,54,13.74
1863,37,10.08
1864,59,24.73
1865,69,22.93
1866,71,34.92
1867,78,38.84
1868,62,21.35
1869,57,19.31
1870,49,14.11
1871,73,30.78
1872,60,15.66
1873,84,24.73
1874,52,20.56
1875,74,31.19
1876,42,11.04
1877,83,35.18
1878,67,24.44
1879,78,26.66
1880,66,29.86
1881,73,16.14
1882,59,20.12
1883,78,32.32
1884,60,18.1
1885,86,33.05
1886,59,19.04
1887,72,16.74
1888,85,23.86
1889,107,45.85
1890,62,17.58
1891,73,18.53
1892,65,21.75
1893,75,18.47
1894,70,25.7
1895,77,21.25
1896,81,23.43
1897,54,9.38
1898,51,16.87
1899,60,18.47
1900,61,21.17
1901,78,18.98
1902,63,18.28
1903,72,20.59
1904,94,23.45
1905,69,20.42
1906,96,26.17
1907,70,17.35
1908,83,25.57
1909,82,19.52
1910,66,25.49
1911,72,14.06
1912,58,11.97
1913,74,29.6
1914,89,27.41
1915,66,27.12
1916,66,15.78
1917,41,11.48
1918,62,25.64
1919,42,10.46
1920,77,23.16
1921,68,19.91
1922,49,22.17
1923,41,11.62
1924,76,30.81
1925,60,20.69
1926,74,25.43
1927,66,19.64
1928,52,15.21
1929,46,16.28
1930,55,13.54
1931,75,21.09
1932,55,14.93
1933,49,12.91
1934,72,23.22
1935,73,24.96
1936,68,22.39
1937,70,25.48
1938,46,12.53
1939,73,27.17
1940,93,35.05
1941,80,26.66
1942,71,21.88
1943,63,17.86
1944,60,21.82
1945,65,21.64
1946,58,14.89
1947,61,15.59
1948,62,18.28
1949,63,16.78
1950,70,24
1951,90,32.56
1952,66,21.1
1953,74,14.27
1954,53,15.74
1955,80,27.17
1956,78,15.04
1957,97,36.48
1958,44,10.46
1959,46,15.47
1960,68,13.87
1961,52,17.65
1962,63,22.15
1963,55,12.32
1964,76,22.29
1965,54,16.33
1966,81,29.41
1967,54,14.46
1968,93,25.09
1969,63,20.8
1970,67,18.79
1971,60,11.06
1972,84,34.36
1973,82,27.96
1974,71,18.33
1975,44,8.05
1976,41,11.08
1977,76,27.86
1978,58,18.7
1979,71,24.57
1980,52,14.63
1981,74,36.63
1982,100,38.17
1983,70,22.47
1984,77,20.01
1985,71,28.68
1986,65,13.86
1987,57,17.74
1988,71,17.43
1989,49,14.32
1990,59,14.08
1991,59,19.2
1992,83,26.66
1993,58,15.22
1994,100,34.02
1995,65,24.89
1996,63,22.63
1997,119,47.19
1998,80,23.49
1999,82,24.89
2000,69,19.47
2001,75,25.03
2002,71,23.87
2003,68,20.54
2004,83,31.86
2005,104,34.43
2006,59,16.89
2007,56,17.5
2008,58,18.11
2009,78,24.09
2010,80,28.87
2011,59,15.64
2012,60,16.61
2013,42,12.54
2014,52,18.19
2015,71,23.26
2016,87,32.34
2017,56,17.53
2018,80,25.72
2019,57,11.69
2020,45,8.96
2021,54,18.74
